Date,Time,Power Factor AN Min,Power Factor AN Avg,Power Factor AN Max,Power Factor AN Status,Power Factor BN Min,Power Factor BN Avg,Power Factor BN Max,Power Factor BN Status,Power Factor CN Min,Power Factor CN Avg,Power Factor CN Max,Power Factor CN Status,Power Factor Total Min,Power Factor Total Avg,Power Factor Total Max,Power Factor AN Status
25-02-2025,18:51.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.96,0.96,
25-02-2025,18:51.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,18:51.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:52.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.95,0.95,
25-02-2025,18:52.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:52.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:52.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:53.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:53.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:53.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:53.8,0.98,0.98,0.98,,0.9,0.9,0.9,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:54.1,0.98,0.98,0.98,,0.9,0.9,0.9,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:54.3,0.98,0.98,0.98,,0.9,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:54.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:54.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:55.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:55.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:55.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:55.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:56.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:56.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:56.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:56.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:57.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:57.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:57.6,0.98,0.98,0.98,,0.92,0.92,0.92,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:57.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:58.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:58.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:58.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:58.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:59.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:59.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:59.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,18:59.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:00.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:00.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:00.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:00.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:01.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:01.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:01.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:01.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:02.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:02.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.98,0.99,0.99,,0.95,0.96,0.96,
25-02-2025,19:02.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:02.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:03.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:03.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:03.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:03.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:04.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:04.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:04.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:04.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:05.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:05.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:05.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:05.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:06.1,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:06.3,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.95,0.96,0.96,
25-02-2025,19:06.6,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
25-02-2025,19:06.8,0.98,0.98,0.98,,0.91,0.91,0.91,,0.99,0.99,0.99,,0.96,0.96,0.96,
