Date,Time,Power Factor AN Avg,Power Factor BN Avg,Power Factor CN Avg,Power Factor Total Avg
2025-04-01,00:00:00,0.981,0.901,0.989,0.951
2025-04-01,00:01:00,0.986,0.918,0.997,0.956
2025-04-01,00:02:00,0.988,0.71,0.972,0.954
2025-04-01,00:03:00,0.976,0.912,0.991,0.958
2025-04-01,00:04:00,0.985,0.913,1.0,0.956
2025-04-01,00:05:00,0.98,0.904,0.967,0.953
2025-04-01,00:06:00,0.991,0.91,0.986,0.75
2025-04-01,00:07:00,0.974,0.916,0.98,0.955
2025-04-01,00:08:00,0.975,0.906,0.986,0.96
2025-04-01,00:09:00,0.982,0.903,0.986,0.947
2025-04-01,00:10:00,0.969,0.9,0.993,0.953
2025-04-01,00:11:00,0.947,0.919,0.988,0.75
2025-04-01,00:12:00,0.982,0.71,0.84,0.953
2025-04-01,00:13:00,0.976,0.909,0.993,0.937
2025-04-01,00:14:00,0.98,0.9,0.986,0.937
2025-04-01,00:15:00,0.989,0.92,0.999,0.945
2025-04-01,00:16:00,0.978,0.903,0.995,0.959
2025-04-01,00:17:00,0.987,0.71,0.999,0.954
2025-04-01,00:18:00,0.983,0.895,0.999,0.945
2025-04-01,00:19:00,0.981,0.919,0.985,0.936
2025-04-01,00:20:00,0.969,0.889,0.994,0.918
2025-04-01,00:21:00,0.975,0.903,1.0,0.958
2025-04-01,00:22:00,0.989,0.91,0.991,0.947
2025-04-01,00:23:00,0.971,0.927,0.991,0.955
2025-04-01,00:24:00,0.986,0.937,0.969,0.945
2025-04-01,00:25:00,0.973,0.905,1.0,0.957
2025-04-01,00:26:00,0.981,0.906,1.0,0.939
2025-04-01,00:27:00,0.972,0.912,0.996,0.964
2025-04-01,00:28:00,0.972,0.9,1.0,0.949
2025-04-01,00:29:00,0.971,0.926,1.0,0.963
2025-04-01,00:30:00,0.983,0.908,1.24,0.949
2025-04-01,00:31:00,0.977,0.898,1.0,0.948
2025-04-01,00:32:00,0.986,0.924,0.981,0.95
2025-04-01,00:33:00,0.969,0.897,0.998,0.973
2025-04-01,00:34:00,0.979,0.914,0.998,0.948
2025-04-01,00:35:00,0.974,0.913,0.984,0.951
2025-04-01,00:36:00,0.996,0.911,0.994,0.946
2025-04-01,00:37:00,0.984,0.894,0.979,0.946
2025-04-01,00:38:00,0.997,0.907,0.991,0.954
2025-04-01,00:39:00,0.959,0.911,0.988,0.94
2025-04-01,00:40:00,0.982,0.902,1.0,0.953
2025-04-01,00:41:00,0.986,0.913,0.999,0.969
2025-04-01,00:42:00,0.979,0.898,0.971,0.952
2025-04-01,00:43:00,0.989,0.924,0.997,0.951
2025-04-01,00:44:00,0.983,0.911,0.976,0.955
2025-04-01,00:45:00,0.968,0.906,0.989,0.961
2025-04-01,00:46:00,0.977,0.896,0.979,0.959
2025-04-01,00:47:00,0.977,0.9,1.0,0.947
2025-04-01,00:48:00,0.971,0.91,1.0,0.949
2025-04-01,00:49:00,0.976,0.901,0.99,0.935
2025-04-01,00:50:00,0.988,0.908,0.979,0.971
2025-04-01,00:51:00,0.977,0.918,0.99,0.952
2025-04-01,00:52:00,0.986,0.928,0.987,0.957
2025-04-01,00:53:00,0.996,0.904,0.988,0.967
2025-04-01,00:54:00,0.979,0.922,1.0,0.942
2025-04-01,00:55:00,0.972,0.911,0.98,0.946
2025-04-01,00:56:00,0.995,0.894,0.989,0.959
2025-04-01,00:57:00,0.976,0.91,0.992,0.935
2025-04-01,00:58:00,0.977,0.904,0.988,0.948
2025-04-01,00:59:00,0.994,0.903,1.0,0.953
2025-04-01,01:00:00,0.995,0.911,1.0,0.945
2025-04-01,01:01:00,0.993,0.899,0.993,0.963
2025-04-01,01:02:00,0.982,0.895,0.992,0.942
2025-04-01,01:03:00,0.967,0.911,1.0,0.951
2025-04-01,01:04:00,0.98,0.924,0.984,0.951
2025-04-01,01:05:00,0.978,0.915,0.994,0.954
2025-04-01,01:06:00,0.973,0.923,0.998,0.931
2025-04-01,01:07:00,0.988,0.911,0.995,0.934
2025-04-01,01:08:00,0.983,0.918,0.985,0.958
2025-04-01,01:09:00,0.951,0.904,1.0,0.942
2025-04-01,01:10:00,0.97,0.903,0.979,0.959
2025-04-01,01:11:00,0.986,0.932,1.0,0.94
2025-04-01,01:12:00,0.974,0.904,0.989,0.936
2025-04-01,01:13:00,0.975,0.91,1.0,0.938
2025-04-01,01:14:00,0.965,0.906,0.995,0.952
2025-04-01,01:15:00,1.0,0.913,0.99,0.959
2025-04-01,01:16:00,0.977,0.898,1.0,0.95
2025-04-01,01:17:00,0.971,0.91,1.0,0.948
2025-04-01,01:18:00,0.973,0.925,1.0,0.929
2025-04-01,01:19:00,0.975,0.904,0.984,0.951
2025-04-01,01:20:00,0.97,0.91,0.996,0.942
2025-04-01,01:21:00,0.979,0.911,0.994,0.952
2025-04-01,01:22:00,0.976,0.907,0.994,0.943
2025-04-01,01:23:00,0.989,0.913,0.987,0.934
2025-04-01,01:24:00,0.986,0.914,1.0,0.959
2025-04-01,01:25:00,0.991,1.16,0.987,0.94
2025-04-01,01:26:00,0.962,0.907,0.985,0.931
2025-04-01,01:27:00,0.973,0.908,0.997,0.942
2025-04-01,01:28:00,0.976,0.915,0.977,0.959
2025-04-01,01:29:00,0.968,0.934,0.996,0.8
2025-04-01,01:30:00,0.97,0.907,0.987,0.948
2025-04-01,01:31:00,0.996,0.897,0.998,0.948
2025-04-01,01:32:00,0.977,0.886,0.972,0.947
2025-04-01,01:33:00,0.964,0.909,0.79,0.929
2025-04-01,01:34:00,0.993,0.894,0.98,0.95
2025-04-01,01:35:00,0.974,0.919,0.987,0.944
2025-04-01,01:36:00,0.987,0.914,0.987,0.969
2025-04-01,01:37:00,0.964,0.895,0.84,0.941
2025-04-01,01:38:00,0.969,0.905,1.0,0.96
2025-04-01,01:39:00,0.99,0.906,0.991,0.934
2025-04-01,01:40:00,0.988,0.916,0.989,0.954
2025-04-01,01:41:00,0.984,0.905,0.981,0.952
2025-04-01,01:42:00,0.96,0.933,0.998,0.933
2025-04-01,01:43:00,0.976,0.912,0.981,0.97
2025-04-01,01:44:00,0.972,0.89,1.0,0.946
2025-04-01,01:45:00,0.982,1.16,1.0,0.948
2025-04-01,01:46:00,0.984,0.76,0.987,0.963
2025-04-01,01:47:00,0.982,0.918,0.982,0.951
2025-04-01,01:48:00,0.984,0.909,0.79,0.944
2025-04-01,01:49:00,0.996,0.892,1.0,0.94
2025-04-01,01:50:00,0.962,0.925,0.987,0.958
2025-04-01,01:51:00,0.971,0.924,0.975,0.95
